,blue1,blue99,green1,green99,red1,red99,nir1,nir99,date
31,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20221023
32,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20201029
33,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20230416
34,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20211219
35,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20161117
36,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20210711
37,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20191101
38,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20211116
39,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20181105
40,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20210404
41,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20190608
42,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20230625
43,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20220205
44,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20180910
45,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20190418
46,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20210206
47,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20220105
48,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20220203
49,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20190503
50,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20210615
51,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20210320
52,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20200505
53,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20180511
54,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20210908
55,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20190606
56,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20200506
57,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20230726
58,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20200927
59,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20190505
60,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20190601
61,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20190602
62,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20211013
63,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20180721
64,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20200524
65,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20210921
66,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20201209
67,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20210514
68,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20211223
69,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20210522
70,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20170829
71,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20220208
72,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20211003
73,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20230314
74,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20200804
75,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20201119
76,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20180514
77,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20240410
78,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20211021
79,0.0,1326.0,0.0,1651.0,0.0,2209.0,0.0,2609.0,20191123
