acquired,satellite_azimuth,satellite_id,sun_azimuth,sun_elevation,view_angle
2019-08-25T16:35:45.830185Z,84.8,1043,109,46.3,3
2020-11-30T17:24:40.953024Z,101.3,0e20,151.3,31.2,3
2020-02-08T16:10:58.573536Z,257.8,1050,125.4,22.5,2
2018-05-21T17:29:14.426006Z,170.4,1001,107.9,63.2,0.1
2020-10-28T18:11:13.542271Z,276.9,2402,161.2,43.2,4.1
2021-04-08T15:01:40.880467Z,260.5,1054,96.5,24.6,4.9
2020-04-17T18:01:09.833278Z,259.5,1063,133.4,62.3,4.1
2019-05-24T17:32:14.534465Z,107.4,0e0f,107.7,64.2,1
2021-02-17T15:08:55.203544Z,260,1020,112.6,13,4
2021-09-05T14:35:13.788596Z,84.5,104e,94.3,19.7,3
2022-02-12T17:40:57.682288Z,273.2,247f,144,37.2,2
2021-08-07T17:11:14.955392Z,100.2,2459,108.4,56,5.1
2023-05-05T17:07:45.327713Z,272.4,245c,109.3,56.6,1.6
2023-11-26T17:13:52.094335Z,272.9,24b9,148.4,30.8,1.6
2022-01-13T17:08:20.16085Z,270.1,0e26,142.6,27.2,1
2022-01-21T17:57:34.092989Z,102,2274,153,34.1,1.1
2018-06-22T17:31:34.668365Z,146.2,0f34,101,64,1.7
2022-05-23T17:40:37.951655Z,276.2,2490,110,65.5,3
2023-06-25T17:09:56.593087Z,100.9,24bb,96.7,59.5,4.2
2021-05-23T14:53:29.225612Z,259.8,0f49,82.9,30.3,3.9
2018-08-04T17:32:24.924464Z,269.7,0f28,112,60.4,1
2016-08-28T17:12:07.576904Z,173.1,0e20,119,52.7,0.8
2023-07-20T17:40:11.179148Z,102.1,2276,108.1,63.9,2.6
2018-05-03T17:29:39.160317Z,196.7,0f22,115.8,60.7,0.1
2020-05-13T15:55:56.734122Z,260.3,0f46,93.2,42.9,3
2023-08-30T17:11:32.217846Z,103.7,24c8,120,52.5,2.3
2018-12-09T17:31:29.629535Z,143.5,0e14,152.6,30.5,0.2
2020-04-24T17:46:16.645106Z,277.7,1018,124.6,61.6,5.1
2021-11-01T17:12:09.980959Z,277.1,2442,145.1,36.4,4
2023-06-27T17:36:12.660003Z,275.5,225a,101.9,64.5,2.7
2022-10-25T17:05:25.15813Z,104.6,242d,142,38,1.7
2021-05-31T17:23:56.479202Z,101.5,2233,103.4,62.8,2.8
2019-01-18T17:38:20.975143Z,275.7,1006,148.3,31.3,2.9
2021-04-12T18:04:25.701255Z,271.5,2424,137.3,61.3,1.1
2019-05-01T16:56:13.686438Z,260.2,1043,107.9,53.4,5
2023-09-18T17:51:24.703245Z,274.5,2470,141.8,54.3,2.2
2024-02-18T17:14:06.946788Z,101.1,24b6,136.5,35.5,3.8
2018-04-30T17:27:56.696378Z,143.2,1025,116.9,59.9,0.1
2024-02-25T17:19:22.649461Z,277,2447,135.3,37.9,5
2021-03-17T17:49:56.190819Z,101.8,105c,139.9,50.1,3
2022-01-16T17:54:29.253567Z,100.9,2307,153.4,33,5
2021-01-14T17:43:59.370959Z,277.2,100c,150.1,31.3,5
2020-08-24T17:43:47.408599Z,277,1025,125.9,58.8,5
2020-06-22T17:44:32.338064Z,276.6,1005,103.6,66.4,4
2019-12-15T17:42:43.740062Z,270.5,1034,154.9,30.9,0.9
2018-11-09T17:35:35.521784Z,240.5,0f28,152.9,37.1,0.2
2017-11-18T17:24:22.405129Z,237.3,0e26,150.6,33.6,0.2
2023-06-30T17:47:32.523008Z,272,2489,104.9,66.8,1.1
2021-05-30T17:15:34.634103Z,277.5,241a,101.6,60.7,5
2020-11-16T18:15:07.690603Z,100.2,1059,165.1,38.4,5
2020-12-04T17:43:42.07189Z,276.1,1011,155.6,32.1,4
2023-07-27T17:13:08.119463Z,274.3,24cf,103.9,57.1,2
2022-12-09T17:39:25.427814Z,106.2,247a,154.5,31.3,1.4
2020-02-24T16:06:46.248997Z,91,1043,120.7,25.8,1.1
2021-09-06T17:13:15.450294Z,268.7,2456,123.8,50.9,1
2018-12-04T17:16:38.769273Z,217.8,0f21,149.2,29.7,0.1
2023-02-02T17:39:26.566154Z,103.1,247f,146,34.6,2.2
2020-03-20T18:04:21.099221Z,100.4,1060,144.2,53.3,5
2017-06-05T17:15:05.916288Z,180.4,1005,99.9,60.9,0
2023-04-12T17:56:17.09269Z,270.7,2426,133.9,59.9,1.2
2019-06-09T16:48:00.865694Z,85,1050,94.6,55.4,3.1
2019-04-03T17:45:37.035994Z,100.3,105f,133.7,55.5,5
2020-06-02T17:44:01.030858Z,274.2,103e,107,66.7,2.1
2022-05-11T17:07:50.101241Z,107.7,245d,107,57.8,0.9
2018-11-28T17:18:10.78974Z,185.1,0f4b,149.5,30.9,0
2020-04-28T17:57:49.012495Z,83.5,1067,128.9,65.1,4
2020-05-21T17:43:27.064692Z,276,101f,111.5,66,3
2017-10-22T17:21:36.071384Z,109.3,0f17,145.5,40.5,1.4
2020-11-08T17:16:50.977772Z,277.2,2206,147.4,34.9,5
2020-04-25T17:46:21.221347Z,277,103d,124.3,61.8,5
2018-09-29T17:31:19.918428Z,151.2,0e0f,140.4,48.5,0.1
2017-06-11T17:14:41.390554Z,188.9,0f4e,98.8,61,0.7000000000000001
2021-01-12T18:06:05.04423Z,103.1,2408,156.9,33.6,2
2019-10-17T16:30:41.933702Z,260.5,0f46,130.5,34.6,4.9
